model_id,model,P_vector,model_average_fidelity,model_average_fidelity_gauge
20260217_145841_random_0,"[[[(0.7218440528080811-5.80879598622127e-18j), (0.037939404422861325+0.09420807634990289j)], [(0.037939404422861325-0.09420807634990289j), (0.27815594719191894+5.80879598622127e-18j)]], [[(-0.1472326986516672+0.8252320849914547j), (-0.2370579509883292+0.4910377441924583j)], [(0.48275768348748194-0.253494689061139j), (-0.8197931186240427+0.17499915516442624j)]], [[(0.5554972802849112+0j), (0.49670196289175755+0.014394858125497945j)], [(0.49670196289175755-0.014394858125497945j), (0.4445027197150889+0j)]]]","[0.434975, 0.586968, 0.447313]",0.8201649340006115,0.8201649340006115
20260217_145841_random_1,"[[[(0.9251405659672605-5.952372927847011e-19j), (0.13714602476733656-0.22083369023388152j)], [(0.13714602476733656+0.22083369023388152j), (0.07485943403273958+5.952372927847011e-19j)]], [[(-0.23272132496341974+0.4377715989381257j), (0.04866961696188171+0.8670802041652265j)], [(-0.5723446997672612+0.6531602840947625j), (0.08625525650715393-0.4882245576110012j)]], [[(0.46584959730648495+0j), (-0.3019442390298139+0.3970685413282919j)], [(-0.3019442390298139-0.3970685413282919j), (0.534150402693515+0j)]]]","[0.787231, 0.153669, 0.90165]",0.44775177637394287,0.6267626322739651
20260217_145841_random_2,"[[[(0.5585841924719759+1.5901829117326668e-18j), (-0.12325865849619108+0.07249440689214189j)], [(-0.12325865849619108-0.07249440689214191j), (0.44141580752802423-1.5901829117326664e-18j)]], [[(-0.2156304403784273-0.7023559616189181j), (-0.6606060082718552-0.15427027644914512j)], [(0.6765903296863066+0.04924573215564032j), (-0.4148185614166806+0.6064041100978993j)]], [[(0.9090076396566833+0j), (-0.1213302654495929-0.2607522145416986j)], [(-0.1213302654495929+0.2607522145416986j), (0.0909923603433167+0j)]]]","[0.459973, 0.498345, 0.564997]",0.39937039013304476,0.6204468947793763
20260217_145841_random_3,"[[[(0.8933118284154565+2.050387431321774e-18j), (0.06250167684451974+0.0940605613293736j)], [(0.06250167684451974-0.0940605613293736j), (0.10668817158454358-2.0503874313217783e-18j)]], [[(-0.209810075829292-0.6997088164822186j), (-0.43213026271032307+0.5288201398088643j)], [(0.2889800596379993+0.6187712253726557j), (-0.3752691830098564+0.6267262050254122j)]], [[(0.28230584572793616+0j), (-0.318753675245902-0.3178133881903042j)], [(-0.318753675245902+0.3178133881903042j), (0.717694154272064+0j)]]]","[0.770876, 0.46787, 0.169958]",0.40833257419448415,0.6508059361157652
20260217_145841_random_4,"[[[(0.5728887538426141+1.1983758632647008e-18j), (-0.18172944630069596+0.4427763612035044j)], [(-0.18172944630069596-0.44277636120350444j), (0.42711124615738594-1.1983758632647008e-18j)]], [[(-0.2276729473608796+0.40753237285114435j), (0.8116263437677762-0.3512051711186453j)], [(-0.3946067360469527-0.7914340894759943j), (0.08835168110319219-0.4583793039916987j)]], [[(0.32785590652570107+0j), (-0.37752139547937086+0.2790053889035485j)], [(-0.37752139547937086-0.2790053889035485j), (0.6721440934742989+0j)]]]","[0.140807, 0.931929, 0.032417]",0.35205031439965445,0.7563245877352395
20260217_145841_random_5,"[[[(0.47108058369332534+3.669015069896248e-18j), (0.003809995395448243+0.06001884500535675j)], [(0.003809995395448246-0.06001884500535678j), (0.5289194163066746-3.669015069896248e-18j)]], [[(-0.42500067044332945+0.26815567630773274j), (0.1354859734411571-0.8538796837888609j)], [(0.7485927081850691-0.4325227400250846j), (0.0980168242760171-0.4928749727589963j)]], [[(0.2327055764931465+0j), (-0.4098995226411314+0.10264537252458797j)], [(-0.4098995226411314-0.10264537252458797j), (0.7672944235068535+0j)]]]","[0.475342, 0.556879, 0.443533]",0.411494342466409,0.6789768901073246
20260217_145841_random_6,"[[[(0.6038015041052563-2.1225221236341664e-20j), (-0.30450289128852004-0.06503782648875409j)], [(-0.30450289128852004+0.06503782648875409j), (0.39619849589474365+2.1225221236341664e-20j)]], [[(-0.10920835240080984-0.13137991284574613j), (-0.7420151440753611+0.6482487024509701j)], [(-0.24109950869615382-0.9553449016836894j), (0.16457252809706313-0.045858791187696514j)]], [[(0.5637521581994039+0j), (0.41358258703151635+0.2736514316228518j)], [(0.41358258703151635-0.2736514316228518j), (0.43624784180059606+0j)]]]","[0.774234, 0.188237, 0.806479]",0.5000403703575788,0.6139351997744115
20260217_145841_random_7,"[[[(0.12048238884673845+1.8112680534642536e-18j), (0.17827777270338735+0.1472645220263351j)], [(0.17827777270338735-0.14726452202633508j), (0.8795176111532615-1.811268053464254e-18j)]], [[(0.3612760066240652+0.3489366430004833j), (-0.42403640173602203+0.7536020144692348j)], [(0.1638870086653956-0.8490370513705692j), (-0.5012172203736596+0.03253354870868791j)]], [[(0.3223151951946497+0j), (-0.07071577112893745+0.46198202330277344j)], [(-0.07071577112893745-0.46198202330277344j), (0.6776848048053504+0j)]]]","[0.254278, 0.759518, 0.42224]",0.5159200477131006,0.721005056920048
20260217_145841_random_8,"[[[(0.08868195488313065+2.0734824357681656e-19j), (0.05936049041236686-0.1217915319595206j)], [(0.05936049041236686+0.1217915319595206j), (0.9113180451168693-2.073482435768166e-19j)]], [[(-0.18733465519868375-0.042610634824485405j), (0.2836088996764038-0.9394977662484268j)], [(-0.20334412102663546-0.9600735540599739j), (-0.19026144265572542+0.026655631245899095j)]], [[(0.4581372938487542+0j), (0.4942261280862805+0.06315099484994573j)], [(0.4942261280862805-0.06315099484994573j), (0.5418627061512459+0j)]]]","[0.42227, 0.583884, 0.449271]",0.6710626061561867,0.7174668599685203
20260217_145841_random_9,"[[[(0.4230512204122594-4.062729920697347e-18j), (-0.38607046503100795-0.17513874215504988j)], [(-0.38607046503100795+0.17513874215504988j), (0.5769487795877406+4.062729920697346e-18j)]], [[(0.40415619942210085+0.664257193423017j), (-0.568637049196818-0.2684623879339433j)], [(-0.45076335730231487+0.4384433180788654j), (-0.16675792757837016+0.7594548348225243j)]], [[(0.8666192014650254+0j), (0.07795420672575125-0.3309282441419984j)], [(0.07795420672575125+0.3309282441419984j), (0.1333807985349748+0j)]]]","[0.500697, 0.860163, 0.47958]",0.45399336949457614,0.6918609948817847
